id,ryouriId,syokuzaiId,ジャンルID
0,0,0,
1,0,1,
2,0,2,
3,0,4,
4,0,5,
5,1,0,
6,1,1,
7,1,2,
8,1,8,
9,1,9,
10,2,0,
11,2,1,
12,2,2,
13,2,12,
14,2,13,
15,3,0,
16,3,5,
17,3,11,
18,3,12,
19,3,13,
20,4,2,
21,4,3,
22,4,11,
23,4,12,
24,4,13,
25,5,3,
26,5,4,
27,5,5,
28,5,8,
29,5,9,
30,6,0,
31,6,2,
32,6,5,
33,6,9,
34,6,11,
35,7,1,
36,7,3,
37,7,4,
38,7,6,
39,7,8,
40,8,1,
41,8,3,
42,8,7,
43,8,10,
44,8,11,
45,9,0,
46,9,4,
47,9,7,
48,9,12,
49,9,13,
50,10,6,
51,10,7,
52,10,8,
53,10,11,
54,10,14,
55,11,4,
56,11,5,
57,11,9,
58,11,10,
59,11,14,
60,12,0,
61,12,3,
62,12,5,
63,12,9,
64,12,10,
65,13,0,
66,13,2,
67,13,7,
68,13,9,
69,13,10,
70,14,2,
71,14,3,
72,14,11,
73,14,13,
74,14,14,
